Date,Open,High,Low,Close,Volume,OpenInt
2022-05-26,4143,4143,4143,4143,0,1281
2022-05-27,4244,4244,4244,4244,0,1281
2022-05-31,4231,4231,4231,4231,0,1281
2022-06-01,4200,4200,4200,4200,0,1281
2022-06-02,4277,4277,4277,4277,0,1281
2022-06-03,4209,4209,4209,4209,0,1281
2022-06-06,4228,4228,4228,4228,0,1281
2022-06-07,4266,4266,4266,4266,0,1281
2022-06-08,4221,4221,4221,4221,0,1281
2022-06-09,4122,4122,4122,4122,0,1281
2022-06-10,4010,4010,4010,4010,0,1281
2022-06-13,3870,3870,3870,3870,0,1281
2022-06-14,3860,3860,3860,3860,0,1281
2022-06-15,3910,3910,3910,3910,0,1281
2022-06-16,3787,3787,3787,3787,0,1281
2022-06-17,3784,3784,3784,3784,0,1281
2022-06-21,3879,3879,3879,3879,0,1281
2022-06-22,3863,3863,3863,3863,0,1281
2022-06-23,3899,3899,3899,3899,0,1281
2022-06-24,4019,4019,4019,4019,0,1281
2022-06-27,4007,4007,4007,4007,0,1281
2022-06-28,3938,3938,3938,3938,0,1281
2022-06-29,3923,3923,3923,3923,0,1281
2022-06-30,3889,3889,3889,3889,0,1281
2022-07-01,3921,3921,3921,3921,0,1281
2022-07-05,3924,3924,3924,3924,0,1281
2022-07-06,3946,3946,3946,3946,0,1281
2022-07-07,4006.5,4006.5,4006.5,4006.5,0,1281
2022-07-08,4008.5,4008.5,4008.5,4008.5,0,1281
2022-07-11,3960,3960,3960,3960,0,1281
2022-07-12,3911,3911,3911,3911,0,1281
2022-07-13,3897,3897,3897,3897,0,1281
2022-07-14,3889,3889,3889,3889,0,1281
2022-07-15,3966,3966,3966,3966,0,1281
2022-07-18,3934,3934,3934,3934,0,1281
2022-07-19,4045,4045,4045,4045,0,1281
2022-07-20,4074,4074,4074,4074,0,1281
2022-07-21,4112,4112,4112,4112,0,1281
2022-07-22,4069,4069,4069,4069,0,1281
2022-07-25,4075,4075,4075,4075,0,1281
2022-07-26,4027,4027,4027,4027,0,1281
2022-07-27,4127,4127,4127,4127,0,1281
2022-07-28,4176,4176,4176,4176,0,1281
2022-07-29,4237,4237,4237,4237,0,1281
2022-08-01,4224,4224,4224,4224,0,1281
2022-08-02,4209,4209,4209,4209,0,1281
2022-08-03,4267,4267,4267,4267,0,1281
2022-08-04,4262,4262,4262,4262,83,1281
2022-08-05,4266.5,4266.5,4266.5,4266.5,0,1281
2022-08-08,4261,4261,4261,4261,0,1281
2022-08-09,4249,4249,4249,4249,0,1281
2022-08-10,4334,4334,4334,4334,0,1281
2022-08-11,4334,4334,4334,4334,0,1281
2022-08-12,4409,4409,4409,4409,0,1281
2022-08-15,4426,4426,4426,4426,0,1281
2022-08-16,4436,4436,4436,4436,0,1281
2022-08-17,4406,4406,4406,4406,0,1281
2022-08-18,4415,4415,4415,4415,0,1281
2022-08-19,4359,4359,4359,4359,0,1281
2022-08-22,4269,4269,4269,4269,0,1281
2022-08-23,4258,4258,4258,4258,0,1281
2022-08-24,4271,4271,4271,4271,0,1281
2022-08-25,4330,4330,4330,4330,0,1281
2022-08-26,4186,4186,4186,4186,0,1281
2022-08-29,4159,4159,4159,4159,0,1281
2022-08-30,4110,4110,4110,4110,0,1281
2022-08-31,4079,4079,4079,4079,0,1281
2022-09-01,4091,4091,4091,4091,0,1281
2022-09-02,4045,4045,4045,4045,0,1281
2022-09-06,4060,4060,4032,4032,1,1282
2022-09-07,4102,4102,4102,4102,0,1282
2022-09-08,4133,4133,4133,4133,0,1282
2022-09-09,4198,4198,4198,4198,0,1282
2022-09-12,4243,4243,4243,4243,0,1282
2022-09-13,4066,4066,4066,4066,0,1282
2022-09-14,4082,4082,4082,4082,0,1282
2022-09-15,4036,4036,4036,4036,0,1282
2022-09-16,4007,4007,3999,4007,0,1282
2022-09-19,4035,4035,3992.25,4035,0,1282
2022-09-20,3990,3990,3982.75,3990,0,1282
2022-09-21,3928,4019,3928,3928,0,1282
2022-09-22,3894,3894,3894,3894,0,1282
2022-09-23,3830,3830,3830,3830,0,1282
2022-09-26,3790,3790,3790,3790,0,1282
2022-09-27,3780,3822,3780,3780,0,1289
2022-09-28,3760,3849,3760,3845,2,1290
2022-09-29,3845,3845,3766,3766,1,1289
2022-09-30,3713,3776.5,3713,3713,0,1289
2022-10-03,3803,3803,3803,3803,0,1284
2022-10-04,3920,3920,3920,3920,0,1284
2022-10-05,3911,3911,3868.25,3911,0,1284
2022-10-06,3874,3874,3874,3874,30,1284
2022-10-07,3772.5,3772.5,3770.25,3772.5,0,1284
2022-10-10,3745,3745,3742.5,3745,0,1284
2022-10-11,3718,3749.25,3718,3718,0,1284
2022-10-12,3707,3729.25,3707,3707,0,1284
2022-10-13,3802,3802,3647,3802,0,1284
2022-10-14,3722,3831,3722,3722,0,1284
2022-10-17,3816,3816,3816,3816,8,1284
2022-10-18,3860,3878,3860,3860,0,1284
2022-10-19,3835,3835,3835,3835,0,1284
2022-10-20,3803,3803,3803,3803,0,1284
2022-10-21,3891,3891,3891,3891,0,1284
2022-10-24,3937,3937,3937,3937,0,1284
2022-10-25,4005,4005,4005,4005,0,1284
2022-10-26,3976,3976,3976,3976,0,1284
2022-10-27,3953,3953,3953,3953,0,1284
2022-10-28,4046,4046,4046,4046,0,1284
2022-10-31,4021,4021,4021,4021,0,1284
2022-11-01,4005.25,4044.25,4005.25,4005.25,0,1284
2022-11-02,3975,3975,3906,3906,2,1284
2022-11-03,3892,3895.5,3865,3865,2,1285
2022-11-04,3916,3920.75,3916,3916,0,1285
2022-11-07,3952,3952,3952,3952,0,1285
2022-11-08,3972,3982.25,3972,3972,0,1285
2022-11-09,3891,3891,3891,3891,0,1285
2022-11-10,4097,4097,4097,4097,219,1295
2022-11-11,4141,4141,4141,4141,0,1295
2022-11-14,4107,4107,4107,4107,0,1295
2022-11-15,4141,4166.5,4141,4141,0,1295
2022-11-16,4109,4109,4109,4109,0,1295
2022-11-17,4096,4096,4075.5,4096,0,1295
2022-11-18,4116,4116,4116,4116,0,1295
2022-11-21,4105,4105,4100,4105,0,1295
2022-11-22,4158,4158,4158,4158,0,1295
2022-11-23,4181,4181,4181,4181,0,1295
2022-11-25,4180,4180,4180,4180,0,1295
2022-11-28,4115.5,4115.5,4115.5,4115.5,0,1295
2022-11-29,4106,4106,4106,4106,0,1295
2022-11-30,4200,4227,4200,4227,2,1297
2022-12-01,4232.5,4232.5,4224.25,4227,2,1297
2022-12-02,4190,4219.5,4190,4219.5,4,1299
2022-12-05,4147,4147,4147,4147,6,1299
2022-12-06,4090.5,4090.5,4088.25,4090.5,0,1299
2022-12-07,4076.5,4076.5,4076.5,4076.5,0,1299
2022-12-08,4101,4101,4101,4101,59,1314
2022-12-09,4077,4103.5,4077,4077,0,1314
2022-12-12,4134,4134,4134,4134,278,1592
2022-12-13,4171.5,4179,4164,4164,51,1592
2022-12-14,4139,4173,4136,4139,0,1592
2022-12-15,4029,4029,4029,4029,0,1592
2022-12-16,3960,3979,3960,3979,1,1593
2022-12-19,3945,3945,3945,3945,0,1593
2022-12-20,3949,3949,3924.25,3949,0,1593
2022-12-21,4006,4006,4006,4006,0,1593
2022-12-22,3948,3948,3948,3948,0,1593
2022-12-23,3969,3969,3969,3969,0,1593
2022-12-27,3974.5,3974.5,3956.75,3957,2,1593
2022-12-28,3940,3940,3907.5,3907.5,2,1594
2022-12-29,3905,3974,3905,3974,2,1640
2022-12-30,3964,3964,3932.25,3964,0,1640
2023-01-03,3948,3991.5,3927.25,3948,0,1640
2023-01-04,3977,3990,3977,3977,0,1640
2023-01-05,3932,3932,3932,3932,0,1640
2023-01-06,4019,4019,4019,4019,0,1640
2023-01-09,4017,4058.5,4017,4017,144,1640
2023-01-10,4045,4045,4011.75,4045,70,1640
2023-01-11,4095,4095,4095,4095,480,1956
2023-01-12,4112.25,4121.25,4075.5,4108,41,1972
2023-01-13,4110,4123,4072.5,4123,2,1971
2023-01-17,4114.75,4131,4112,4114.5,68,2037
2023-01-18,4110.5,4130.75,4049.5,4049.5,17,2024
2023-01-19,4019.5,4019.5,4011,4019.5,1,2075
2023-01-20,4059,4092.75,4059,4092.75,1,2074
2023-01-23,4140.75,4153.75,4140.75,4140.75,0,2074
2023-01-24,4137.25,4137.25,4118.25,4137.25,115,1959
2023-01-25,4110,4136.25,4075,4136.25,122,2079
2023-01-26,4181.25,4181.25,4181.25,4181.25,347,2426
2023-01-27,4170,4206.75,4158.25,4192.25,256,2665
2023-01-30,4163.25,4163.25,4140.25,4140.25,85,2583
2023-01-31,4152,4198.25,4122.75,4198.25,9,2585
2023-02-01,4189.25,4248,4182,4241,7,2587
2023-02-02,4302,4307.75,4302,4302,27,2587
